School_Name,Type,Year__end_year_of_academic_year,All_Subgroups_Graduated,All_Subgroups_Number_in_Cohort,All_Subgroups_Percentage_Graduated,American_Indian_or_Alaska_Nativ,American_Indian_or_Alaska_Nat_1,American_Indian_or_Alaska_Nat_2,Asian_Graduated,Asian_Number_in_Cohort,Asian_Percentage_Graduated,Black_or_African_American_Gradu,Black_or_African_American_Numbe,Black_or_African_American_Perce,Economically_Disadvantaged_Grad,Economically_Disadvantaged_Numb,Economically_Disadvantaged_Perc,Female_Graduated,Female_Number_in_Cohort,Female_Percentage_Graduated,Hispanic_or_Latino_Graduated,Hispanic_or_Latino_Number_in_Co,Hispanic_or_Latino_Percentage_G,Limited_English_Proficient_Grad,Limited_English_Proficient_Numb,Limited_English_Proficient_Perc,Male_Graduated,Male_Number_in_Cohort,Male_Percentage_Graduated,Migrant_Graduated,Migrant_Number_in_Cohort,Migrant_Percentage_Graduated,Multiple_Races_Graduated,Multiple_Races_Number_in_Cohort,Multiple_Races_Percentage_Gradu,Native_Hawaiian_or_Pacific_Isla,Native_Hawaiian_or_Pacific_Is_1,Native_Hawaiian_or_Pacific_Is_2,Students_With_Disabilities_Grad,Students_With_Disabilities_Numb,Students_With_Disabilities_Perc,White_Graduated,White_Number_in_Cohort,White_Percentage_Graduated,Foster_Care_Graduated,Foster_Care_Number_in_Cohort,Foster_Care_Percentage__Graduat,Homeless_Graduated,Homeless_Number_in_Cohort,Homeless_Percentage_Graduated,Military_Graduated,Military_Number_in_Cohort,Military_Percentage_Graduated,Date,ObjectId
Compadre High School,Reported Data,2012,136,278,48.92,0,24,0,0,0,,26,53,49.06,47,98,47.96,76,129,58.91,59,123,47.97,0,0,,60,149,40.27,0,0,,0,0,,0,0,,15,29,51.72,36,66,54.55,9999,9999,9999,9999,9999,9999,9999,9999,9999,2012/06/30 07:00:00+00,1
Corona Del Sol High School,Reported Data,2012,515,540,95.37,0,0,,47,48,97.92,37,37,100,30,30,100,274,283,96.82,62,63,98.41,0,0,,241,257,93.77,0,0,,0,0,,0,0,,31,38,81.58,362,384,94.27,9999,9999,9999,9999,9999,9999,9999,9999,9999,2012/06/30 07:00:00+00,2
Marcos De Niza High School,Reported Data,2012,381,417,91.37,30,43,69.77,22,23,95.65,53,54,98.15,67,86,77.91,203,219,92.69,141,151,93.38,0,0,,178,198,89.9,0,0,,0,0,,0,0,,33,44,75,135,145,93.1,9999,9999,9999,9999,9999,9999,9999,9999,9999,2012/06/30 07:00:00+00,3
Mcclintock High School,Reported Data,2012,344,380,90.53,14,17,82.35,27,34,79.41,38,42,90.48,110,116,94.83,172,186,92.47,111,121,91.74,0,0,,172,194,88.66,0,0,,0,0,,0,0,,25,37,67.57,153,164,93.29,9999,9999,9999,9999,9999,9999,9999,9999,9999,2012/06/30 07:00:00+00,4
Tempe High School,Reported Data,2012,249,284,87.68,12,13,92.31,0,11,0,47,57,82.46,94,107,87.85,133,148,89.86,143,157,91.08,0,0,,116,136,85.29,0,0,,0,0,,0,0,,25,39,64.1,36,45,80,9999,9999,9999,9999,9999,9999,9999,9999,9999,2012/06/30 07:00:00+00,5
Grand Total Tempe High Schools,Reported Data,2012,1625,1899,85.57,56,97,57.73,96,116,82.76,201,243,82.72,348,437,79.63,858,965,88.91,516,615,83.9,0,0,,767,934,82.12,0,0,,0,0,,0,0,,129,187,68.98,722,804,89.8,9999,9999,9999,9999,9999,9999,9999,9999,9999,2012/06/30 07:00:00+00,6
Tempe Union HS District,Reported Data,2012,3301,3685,89.6,363,423,85.8,237,255,92.9,773,900,85.9,99,135,73.3,,,,1816,1951,93.1,,11,90.9,472,576,81.9,,12,33.3,198,278,71.2,0,0,0,1701,1851,91.9,1600,1834,87.2,9999,9999,9999,9999,9999,9999,9999,9999,9999,2012/06/30 07:00:00+00,7
Maricopa County,Reported Data,2012,38824,49300,78.8,729,1120,65.1,1651,1879,87.9,2661,3668,72.5,13262,18143,73.1,20277,24437,83,13363,18792,71.1,158,727,21.7,18547,24863,74.6,,14,71.4,345,424,81.4,57,92,62,2877,4201,68.5,20011,23213,86.2,9999,9999,9999,9999,9999,9999,9999,9999,9999,2012/06/30 07:00:00+00,8
State of Arizona,Reported Data,2012,59208,77247,76.65,2849,4391,64.88,1959,2260,86.68,3235,4531,71.4,21657,30473,71.07,30686,37938,80.88,21449,30496,70.33,281,1200,23.42,28522,39309,72.56,151,201,75.12,621,792,78.41,102,161,63.35,4816,7358,65.45,28985,34461,84.11,9999,9999,9999,9999,9999,9999,9999,9999,9999,2012/06/30 07:00:00+00,9
Compadre High School,Reported Data,2013,115,305,37.7,6,28,21.43,0,0,,33,73,45.21,52,144,36.11,67,140,47.86,49,128,38.28,0,0,,48,165,29.09,0,0,,0,0,,0,0,,9,26,34.62,26,69,37.68,9999,9999,9999,9999,9999,9999,9999,9999,9999,2013/06/30 07:00:00+00,10
Corona Del Sol High School,Reported Data,2013,545,578,94.29,11,12,91.67,60,63,95.24,28,34,82.35,35,39,89.74,264,275,96,74,83,89.16,0,0,,281,303,92.74,0,0,,0,0,,0,0,,33,46,71.74,370,384,96.35,9999,9999,9999,9999,9999,9999,9999,9999,9999,2013/06/30 07:00:00+00,11
Marcos De Niza High School,Reported Data,2013,386,440,87.73,30,39,76.92,17,17,100,56,68,82.35,99,124,79.84,190,206,92.23,141,157,89.81,0,0,,196,234,83.76,0,0,,0,0,,0,0,,22,42,52.38,140,157,89.17,9999,9999,9999,9999,9999,9999,9999,9999,9999,2013/06/30 07:00:00+00,12
Mcclintock High School,Reported Data,2013,347,410,84.63,16,21,76.19,31,33,93.94,33,41,80.49,36,45,80,171,197,86.8,112,131,85.5,0,0,,176,213,82.63,0,0,,0,0,,0,0,,14,25,56,150,178,84.27,9999,9999,9999,9999,9999,9999,9999,9999,9999,2013/06/30 07:00:00+00,13
